               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.020546,            0.064903,           0.0097514,             0.97392,             0.95806,             0.97605,             0.79869,             0.02036,            0.050272,           0.0089087,            0.004951,            0.004951,            0.004951
                  53,            0.020325,            0.063251,           0.0095807,             0.97413,             0.95999,             0.97652,             0.80119,            0.019866,            0.049648,           0.0088794,            0.004852,            0.004852,            0.004852
                  54,            0.020471,            0.063012,           0.0095493,             0.97395,             0.95809,             0.97568,             0.80073,            0.020233,            0.049846,           0.0087161,            0.004753,            0.004753,            0.004753
                  55,             0.02044,             0.06373,           0.0096706,              0.9725,             0.96104,             0.97636,             0.79935,            0.020261,             0.05015,           0.0087968,            0.004654,            0.004654,            0.004654
                  56,            0.020379,             0.06314,           0.0095362,             0.97385,             0.96084,             0.97694,             0.80338,            0.019738,             0.04971,           0.0087173,            0.004555,            0.004555,            0.004555
                  57,            0.020223,            0.063184,           0.0092221,             0.97494,             0.95727,             0.97657,             0.80424,            0.019838,            0.049988,           0.0087493,            0.004456,            0.004456,            0.004456
                  58,            0.020461,            0.063223,           0.0093339,             0.97635,             0.95815,              0.9764,              0.7966,            0.020132,            0.050271,           0.0086396,            0.004357,            0.004357,            0.004357
                  59,            0.020073,            0.061185,           0.0094125,             0.97476,             0.95865,             0.97556,             0.79432,            0.020214,            0.050596,           0.0085936,            0.004258,            0.004258,            0.004258
                  60,            0.020106,            0.062291,           0.0095301,             0.97365,             0.95896,             0.97626,             0.80109,            0.019875,            0.050382,           0.0086048,            0.004159,            0.004159,            0.004159
                  61,            0.019954,            0.061939,           0.0093182,             0.97375,             0.95888,             0.97598,             0.80086,            0.020125,            0.050538,           0.0087101,             0.00406,             0.00406,             0.00406
                  62,            0.019928,            0.062445,            0.009283,             0.97533,             0.95776,             0.97576,             0.80578,            0.019526,            0.050071,           0.0086516,            0.003961,            0.003961,            0.003961
                  63,            0.019023,            0.061374,           0.0092476,             0.97284,              0.9596,              0.9761,             0.80672,            0.019175,             0.05035,           0.0085378,            0.003862,            0.003862,            0.003862
                  64,            0.018868,            0.059825,           0.0093117,             0.97424,             0.95664,             0.97557,               0.802,            0.019685,            0.050817,           0.0085154,            0.003763,            0.003763,            0.003763
                  65,            0.018999,            0.060401,           0.0088831,             0.97471,             0.95569,             0.97486,             0.80719,            0.019052,            0.050043,            0.008471,            0.003664,            0.003664,            0.003664
