               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.021548,            0.065148,           0.0082456,             0.97234,             0.96355,             0.97932,             0.79884,            0.019184,            0.051406,           0.0079483,            0.007921,            0.007921,            0.007921
                  65,             0.02126,            0.064316,           0.0082336,             0.97257,             0.96611,             0.97848,             0.80149,             0.01883,            0.051096,            0.008026,            0.007888,            0.007888,            0.007888
                  66,            0.020918,            0.064266,           0.0082246,             0.97448,             0.96608,             0.97983,             0.79922,            0.018938,            0.051515,             0.00772,            0.007855,            0.007855,            0.007855
                  67,            0.021049,            0.063309,           0.0081284,              0.9713,             0.96552,             0.97894,             0.80293,              0.0186,            0.050742,           0.0078923,            0.007822,            0.007822,            0.007822
                  68,            0.021342,             0.06441,           0.0081861,             0.97033,             0.96402,             0.97789,             0.79517,            0.019353,            0.051951,           0.0079332,            0.007789,            0.007789,            0.007789
                  69,            0.021283,            0.062701,           0.0081553,             0.97168,             0.96544,             0.97794,             0.79997,            0.018723,             0.05177,           0.0077884,            0.007756,            0.007756,            0.007756
                  70,             0.02108,            0.064548,           0.0081237,             0.97148,             0.96439,             0.97754,             0.77826,            0.020114,            0.052306,           0.0077676,            0.007723,            0.007723,            0.007723
                  71,            0.020741,            0.061802,           0.0081002,             0.97351,             0.96475,             0.97807,             0.80295,            0.018685,            0.051574,           0.0077452,             0.00769,             0.00769,             0.00769
                  72,            0.020239,            0.061907,           0.0081135,             0.97335,             0.96367,             0.97628,             0.79458,            0.019141,            0.052583,           0.0076667,            0.007657,            0.007657,            0.007657
                  73,            0.021086,            0.061964,           0.0079115,             0.97185,             0.96609,             0.97736,              0.7982,            0.018895,            0.051829,           0.0076775,            0.007624,            0.007624,            0.007624
                  74,            0.020785,            0.061879,           0.0080732,             0.97399,             0.96798,             0.97839,             0.79947,            0.019074,            0.052029,           0.0076526,            0.007591,            0.007591,            0.007591
                  75,            0.020476,             0.06091,           0.0079517,             0.97518,             0.96926,             0.98028,             0.80318,            0.018461,            0.050802,           0.0076638,            0.007558,            0.007558,            0.007558
                  76,            0.020825,            0.062788,           0.0079659,             0.97274,             0.96657,             0.97948,             0.80008,             0.01893,            0.051358,           0.0076103,            0.007525,            0.007525,            0.007525
                  77,            0.021078,            0.063473,           0.0080801,             0.97591,             0.96851,             0.98126,             0.80438,            0.018413,            0.050987,            0.007717,            0.007492,            0.007492,            0.007492
                  78,            0.020704,            0.062255,           0.0080063,             0.97304,             0.96806,             0.98084,             0.80022,            0.018929,            0.051304,           0.0076774,            0.007459,            0.007459,            0.007459
                  79,            0.020443,            0.061864,            0.007924,              0.9727,             0.96471,             0.97949,              0.8052,            0.018472,             0.05129,            0.007673,            0.007426,            0.007426,            0.007426
                  80,            0.020199,            0.061962,           0.0076874,             0.97121,             0.96371,             0.97692,             0.78308,            0.019654,            0.052951,           0.0077777,            0.007393,            0.007393,            0.007393
                  81,            0.020653,            0.062154,           0.0078249,               0.972,             0.96782,             0.97823,             0.80184,            0.018218,            0.051923,           0.0077388,             0.00736,             0.00736,             0.00736
                  82,             0.02027,            0.061888,           0.0075952,             0.97374,             0.96808,             0.97999,             0.80242,            0.018616,            0.051227,            0.007734,            0.007327,            0.007327,            0.007327
                  83,            0.020031,            0.061513,           0.0078382,             0.97426,             0.96772,             0.98027,             0.80613,            0.018092,             0.05111,           0.0076002,            0.007294,            0.007294,            0.007294
                  84,            0.020537,            0.061936,           0.0078119,             0.97247,             0.96977,              0.9797,             0.80328,            0.018693,            0.051926,           0.0076202,            0.007261,            0.007261,            0.007261
                  85,            0.020791,            0.062107,           0.0077532,              0.9718,             0.96991,             0.97935,             0.80372,            0.018371,            0.051623,           0.0077901,            0.007228,            0.007228,            0.007228
                  86,            0.020504,            0.061371,           0.0075779,             0.97236,               0.967,             0.97719,             0.78818,            0.019153,            0.051963,           0.0078136,            0.007195,            0.007195,            0.007195
                  87,            0.020441,            0.062227,           0.0075538,             0.97452,             0.96513,              0.9776,             0.80141,            0.018316,            0.051825,           0.0076666,            0.007162,            0.007162,            0.007162
                  88,             0.01981,            0.062266,           0.0075698,             0.97164,               0.968,             0.97943,             0.80471,            0.018482,             0.05157,           0.0077656,            0.007129,            0.007129,            0.007129
                  89,            0.020506,            0.060335,           0.0076518,             0.97219,             0.96619,             0.97968,             0.80525,            0.018076,            0.051657,           0.0075888,            0.007096,            0.007096,            0.007096
                  90,            0.019897,            0.060009,            0.007715,             0.97216,             0.96608,             0.97766,             0.80455,            0.018268,            0.051736,           0.0075659,            0.007063,            0.007063,            0.007063
                  91,            0.019371,            0.058115,           0.0076027,             0.97294,             0.96966,             0.98008,             0.80889,            0.018017,            0.051032,           0.0075074,             0.00703,             0.00703,             0.00703
                  92,            0.019788,            0.060926,             0.00769,             0.97432,             0.96704,              0.9793,             0.80589,            0.018239,            0.051641,           0.0076416,            0.006997,            0.006997,            0.006997
                  93,            0.020022,            0.061797,           0.0075503,              0.9715,             0.96832,             0.97969,             0.81024,            0.017953,            0.051178,           0.0076154,            0.006964,            0.006964,            0.006964
                  94,             0.01945,            0.058456,            0.007468,             0.97345,             0.96858,             0.98129,             0.80736,            0.018331,            0.051602,           0.0073842,            0.006931,            0.006931,            0.006931
                  95,            0.019522,            0.059253,           0.0075282,             0.97529,             0.96898,             0.98256,             0.81158,            0.017919,            0.051525,           0.0072478,            0.006898,            0.006898,            0.006898
                  96,            0.019483,            0.060192,           0.0075802,             0.97104,              0.9601,             0.97927,             0.79901,            0.018847,            0.053138,           0.0079743,            0.006865,            0.006865,            0.006865
                  97,            0.019537,             0.05934,           0.0074774,             0.97373,             0.96584,             0.97887,             0.80541,            0.017844,            0.051545,           0.0076133,            0.006832,            0.006832,            0.006832
                  98,            0.020017,            0.059805,           0.0077237,             0.97492,             0.96871,             0.97986,             0.80633,            0.018113,            0.052407,           0.0074182,            0.006799,            0.006799,            0.006799
                  99,            0.019298,            0.059495,           0.0074027,              0.9747,             0.96652,             0.97915,             0.80905,            0.017897,            0.051543,           0.0074125,            0.006766,            0.006766,            0.006766
                 100,            0.020009,            0.060136,           0.0074978,             0.96911,             0.96153,             0.97417,             0.77152,            0.019888,            0.054051,           0.0076977,            0.006733,            0.006733,            0.006733
                 101,            0.019758,              0.0604,           0.0074276,             0.97253,             0.96684,             0.97817,             0.80284,            0.018049,            0.051826,           0.0074689,              0.0067,              0.0067,              0.0067
                 102,            0.019475,            0.059117,           0.0074372,             0.97268,             0.96632,             0.97788,             0.80504,            0.018184,            0.052347,           0.0074334,            0.006667,            0.006667,            0.006667
                 103,            0.020007,            0.058885,           0.0073959,             0.97363,             0.96481,             0.98003,             0.80604,            0.018017,             0.05176,           0.0075087,            0.006634,            0.006634,            0.006634
                 104,            0.019365,            0.058638,           0.0075225,             0.97328,             0.96742,             0.97811,             0.79285,            0.018826,            0.053216,           0.0074707,            0.006601,            0.006601,            0.006601
                 105,            0.019436,            0.057767,           0.0073325,              0.9699,             0.96541,             0.97781,             0.80553,            0.017989,            0.052603,           0.0078235,            0.006568,            0.006568,            0.006568
                 106,            0.019015,            0.059303,            0.007385,             0.97261,              0.9674,             0.97948,             0.80762,            0.018188,            0.053567,            0.007491,            0.006535,            0.006535,            0.006535
                 107,            0.018389,            0.058576,           0.0073236,             0.97135,             0.96391,             0.97797,             0.80717,            0.018012,            0.052681,           0.0075502,            0.006502,            0.006502,            0.006502
                 108,            0.018888,            0.057245,           0.0072682,             0.97181,             0.96221,             0.97633,             0.80187,            0.018364,            0.053028,           0.0077542,            0.006469,            0.006469,            0.006469
                 109,            0.019228,            0.058566,           0.0074303,             0.97222,             0.96201,             0.97562,             0.79844,            0.018233,            0.053373,           0.0076596,            0.006436,            0.006436,            0.006436
                 110,            0.018287,            0.056956,           0.0072995,             0.97366,             0.96613,             0.97932,             0.80529,            0.018018,            0.053086,           0.0074419,            0.006403,            0.006403,            0.006403
                 111,            0.019539,            0.059906,           0.0071047,             0.97266,             0.96381,             0.97905,             0.80959,            0.017954,            0.052224,           0.0075812,             0.00637,             0.00637,             0.00637
                 112,            0.019024,            0.056716,           0.0073099,             0.97365,             0.96401,             0.97785,             0.79717,            0.018488,            0.052951,           0.0074117,            0.006337,            0.006337,            0.006337
                 113,            0.019071,            0.057114,           0.0072886,             0.97285,             0.96698,             0.97949,             0.80801,            0.017847,            0.052296,           0.0072948,            0.006304,            0.006304,            0.006304
